manufacturer,manufacturerLabel,country,countryLabel,headquarters,headquartersLabel,inception,foundingYear
http://www.wikidata.org/entity/Q1145453,Q1145453,,,,,,
http://www.wikidata.org/entity/Q1146130,Q1146130,,,http://www.wikidata.org/entity/Q34739,Дейтон,1916-01-01T00:00:00Z,1916
http://www.wikidata.org/entity/Q1147318,Q1147318,,,,,,
http://www.wikidata.org/entity/Q1147321,Q1147321,,,http://www.wikidata.org/entity/Q193929,Сюрен,1919-01-01T00:00:00Z,1919
http://www.wikidata.org/entity/Q1147336,Q1147336,,,http://www.wikidata.org/entity/Q495,Турин,1922-01-01T00:00:00Z,1922
http://www.wikidata.org/entity/Q1147340,Q1147340,,,http://www.wikidata.org/entity/Q212987,Шуази-ле-Руа,1924-01-01T00:00:00Z,1924
http://www.wikidata.org/entity/Q1147344,Q1147344,,,http://www.wikidata.org/entity/Q212566,Буа-Коломб,1926-01-01T00:00:00Z,1926
http://www.wikidata.org/entity/Q1147350,Q1147350,,,http://www.wikidata.org/entity/Q456,Лион,1921-01-01T00:00:00Z,1921
http://www.wikidata.org/entity/Q1147351,Q1147351,,,http://www.wikidata.org/entity/Q166640,Леваллуа-Перре,1922-01-01T00:00:00Z,1922
http://www.wikidata.org/entity/Q1147613,Q1147613,,,http://www.wikidata.org/entity/Q6346,Индианаполис,,
http://www.wikidata.org/entity/Q11491418,Q11491418,http://www.wikidata.org/entity/Q17,Япония,,,,
http://www.wikidata.org/entity/Q1153055,Q1153055,http://www.wikidata.org/entity/Q41304,Веймарская республика,http://www.wikidata.org/entity/Q64,Берлин,1927-01-01T00:00:00Z,1927
http://www.wikidata.org/entity/Q1154520,Q1154520,,,,,1913-01-01T00:00:00Z,1913
http://www.wikidata.org/entity/Q1155724,Q1155724,,,http://www.wikidata.org/entity/Q638573,Перанши,1910-01-01T00:00:00Z,1910
http://www.wikidata.org/entity/Q1156300,Q1156300,http://www.wikidata.org/entity/Q183,Германия,http://www.wikidata.org/entity/Q259662,Аффинг,1982-01-01T00:00:00Z,1982
http://www.wikidata.org/entity/Q115730839,Q115730839,http://www.wikidata.org/entity/Q142,Франция,http://www.wikidata.org/entity/Q166640,Леваллуа-Перре,1920-01-01T00:00:00Z,1920
http://www.wikidata.org/entity/Q115779506,Q115779506,http://www.wikidata.org/entity/Q142,Франция,,,,
http://www.wikidata.org/entity/Q115918707,Q115918707,http://www.wikidata.org/entity/Q39,Швейцария,http://www.wikidata.org/entity/Q69726,Лангенталь,1888-01-01T00:00:00Z,1888
http://www.wikidata.org/entity/Q116136730,Q116136730,http://www.wikidata.org/entity/Q142,Франция,,,,
http://www.wikidata.org/entity/Q116234410,Q116234410,,,,,1922-01-01T00:00:00Z,1922
http://www.wikidata.org/entity/Q1164395,Q1164395,,,http://www.wikidata.org/entity/Q1296,Гент,1904-01-01T00:00:00Z,1904
http://www.wikidata.org/entity/Q1166559,Q1166559,,,,,,
http://www.wikidata.org/entity/Q1170065,Q1170065,http://www.wikidata.org/entity/Q183,Германия,http://www.wikidata.org/entity/Q1055,Гамбург,1992-01-01T00:00:00Z,1992
http://www.wikidata.org/entity/Q117669937,Q117669937,http://www.wikidata.org/entity/Q35,Дания,,,,
http://www.wikidata.org/entity/Q1177593,Q1177593,http://www.wikidata.org/entity/Q41304,Веймарская республика,http://www.wikidata.org/entity/Q2079,Лейпциг,1920-01-01T00:00:00Z,1920
http://www.wikidata.org/entity/Q1178395,Q1178395,,,,,,
http://www.wikidata.org/entity/Q1180118,Q1180118,http://www.wikidata.org/entity/Q38,Италия,http://www.wikidata.org/entity/Q2634,Неаполь,1906-01-01T00:00:00Z,1906
http://www.wikidata.org/entity/Q1180241,Q1180241,,,http://www.wikidata.org/entity/Q1479,Бордо,1955-01-01T00:00:00Z,1955
http://www.wikidata.org/entity/Q1180278,Q1180278,,,http://www.wikidata.org/entity/Q90,Париж,1904-01-01T00:00:00Z,1904
http://www.wikidata.org/entity/Q1180677,Q1180677,,,http://www.wikidata.org/entity/Q48958,Нёйи-сюр-Сен,1911-01-01T00:00:00Z,1911
http://www.wikidata.org/entity/Q1182084,Q1182084,,,,,,
http://www.wikidata.org/entity/Q1182101,Q1182101,,,,,1898-01-01T00:00:00Z,1898
http://www.wikidata.org/entity/Q1182120,Q1182120,,,,,1982-01-01T00:00:00Z,1982
http://www.wikidata.org/entity/Q1182200,Q1182200,http://www.wikidata.org/entity/Q40,Австрия,http://www.wikidata.org/entity/Q1781,Будапешт,1900-01-01T00:00:00Z,1900
http://www.wikidata.org/entity/Q1182560,Q1182560,,,http://www.wikidata.org/entity/Q208713,Иксель,1937-01-01T00:00:00Z,1937
http://www.wikidata.org/entity/Q1183795,Q1183795,,,,,,
http://www.wikidata.org/entity/Q1184142,Q1184142,,,http://www.wikidata.org/entity/Q181285,Камбре,1922-01-01T00:00:00Z,1922
http://www.wikidata.org/entity/Q1184921,Q1184921,,,http://www.wikidata.org/entity/Q495,Турин,1968-01-01T00:00:00Z,1968
http://www.wikidata.org/entity/Q1184966,Q1184966,http://www.wikidata.org/entity/Q183,Германия,http://www.wikidata.org/entity/Q1726,Мюнхен,1954-01-01T00:00:00Z,1954
http://www.wikidata.org/entity/Q11850264,Q11850264,,,,,,
http://www.wikidata.org/entity/Q1185722,Q1185722,,,http://www.wikidata.org/entity/Q9005,Брюссель,1901-01-01T00:00:00Z,1901
http://www.wikidata.org/entity/Q118747,Q118747,http://www.wikidata.org/entity/Q38,Италия,http://www.wikidata.org/entity/Q495,Турин,1898-01-01T00:00:00Z,1898
http://www.wikidata.org/entity/Q11903634,Q11903634,http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q1492,Барселона,1951-01-01T00:00:00Z,1951
http://www.wikidata.org/entity/Q11908822,Q11908822,http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q1492,Барселона,1960-01-01T00:00:00Z,1960
http://www.wikidata.org/entity/Q11909299,Q11909299,http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q8826,Пальма,1952-01-01T00:00:00Z,1952
http://www.wikidata.org/entity/Q11917157,Q11917157,http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q10509,Эльче,1960-01-01T00:00:00Z,1960
http://www.wikidata.org/entity/Q11921451,Q11921451,http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q8818,Валенсия,1949-01-01T00:00:00Z,1949
http://www.wikidata.org/entity/Q11934302,Q11934302,http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q1492,Барселона,1924-01-01T00:00:00Z,1924
http://www.wikidata.org/entity/Q11937499,Q11937499,http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q1492,Барселона,1912-01-01T00:00:00Z,1912
http://www.wikidata.org/entity/Q11938263,Q11938263,http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q1492,Барселона,1956-01-01T00:00:00Z,1956
http://www.wikidata.org/entity/Q11938263,Q11938263,http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q11492,Матаро,1956-01-01T00:00:00Z,1956
http://www.wikidata.org/entity/Q11942292,Q11942292,http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q1492,Барселона,1951-01-01T00:00:00Z,1951
http://www.wikidata.org/entity/Q11945116,Q11945116,http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q11492,Матаро,1953-01-01T00:00:00Z,1953
http://www.wikidata.org/entity/Q11945202,Q11945202,http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q1492,Барселона,1956-01-01T00:00:00Z,1956
http://www.wikidata.org/entity/Q11946174,Q11946174,http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q1993019,Мельяна,1940-01-01T00:00:00Z,1940
http://www.wikidata.org/entity/Q11946505,Q11946505,http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q8818,Валенсия,1948-01-01T00:00:00Z,1948
http://www.wikidata.org/entity/Q11946523,Q11946523,http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q1492,Барселона,1941-01-01T00:00:00Z,1941
http://www.wikidata.org/entity/Q11946890,Q11946890,http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q1492,Барселона,1950-01-01T00:00:00Z,1950
http://www.wikidata.org/entity/Q11953131,Q11953131,http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q16697,Манреса,1960-01-01T00:00:00Z,1960
http://www.wikidata.org/entity/Q11954154,Q11954154,http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q11959,Аликанте,1950-01-01T00:00:00Z,1950
http://www.wikidata.org/entity/Q1200530,Q1200530,,,http://www.wikidata.org/entity/Q90,Париж,1913-01-01T00:00:00Z,1913
http://www.wikidata.org/entity/Q1200616,Q1200616,,,http://www.wikidata.org/entity/Q90,Париж,1950-01-01T00:00:00Z,1950
http://www.wikidata.org/entity/Q1200820,Q1200820,,,http://www.wikidata.org/entity/Q90,Париж,1920-01-01T00:00:00Z,1920
http://www.wikidata.org/entity/Q1201518,Q1201518,,,,,,
http://www.wikidata.org/entity/Q1201537,Q1201537,http://www.wikidata.org/entity/Q30,США,http://www.wikidata.org/entity/Q12439,Детройт,1907-01-01T00:00:00Z,1907
http://www.wikidata.org/entity/Q1201550,Q1201550,,,,,,
http://www.wikidata.org/entity/Q1201669,Q1201669,http://www.wikidata.org/entity/Q43287,Германская империя,http://www.wikidata.org/entity/Q1055,Гамбург,1911-01-01T00:00:00Z,1911
http://www.wikidata.org/entity/Q12034800,Q12034800,,,,,,
http://www.wikidata.org/entity/Q1204313,Q1204313,http://www.wikidata.org/entity/Q43287,Германская империя,http://www.wikidata.org/entity/Q64,Берлин,1903-01-01T00:00:00Z,1903
http://www.wikidata.org/entity/Q1207066,Q1207066,,,http://www.wikidata.org/entity/Q9005,Брюссель,1934-01-01T00:00:00Z,1934
http://www.wikidata.org/entity/Q1207770,Q1207770,,,http://www.wikidata.org/entity/Q238205,Вуарон,1920-01-01T00:00:00Z,1920
http://www.wikidata.org/entity/Q1207970,Q1207970,,,http://www.wikidata.org/entity/Q90,Париж,1921-01-01T00:00:00Z,1921
http://www.wikidata.org/entity/Q1208665,Q1208665,,,,,,
http://www.wikidata.org/entity/Q1208778,Q1208778,http://www.wikidata.org/entity/Q41304,Веймарская республика,http://www.wikidata.org/entity/Q1726,Мюнхен,1922-01-01T00:00:00Z,1922
http://www.wikidata.org/entity/Q1220626,Q1220626,,,,,,
http://www.wikidata.org/entity/Q12217489,Q12217489,,,,,,
http://www.wikidata.org/entity/Q1226490,Q1226490,,,http://www.wikidata.org/entity/Q234743,Пюто,1904-01-01T00:00:00Z,1904
http://www.wikidata.org/entity/Q1226696,Q1226696,http://www.wikidata.org/entity/Q41304,Веймарская республика,http://www.wikidata.org/entity/Q64,Берлин,1920-01-01T00:00:00Z,1920
